# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = barebones_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = barebones.data.R
# init = 2 (Default)
# random
#   seed = 901527629
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,icpt,slope,sigma
# Adaptation terminated
# Step size = 0.229652
# Diagonal elements of inverse mass matrix:
# 0.360458, 0.0194784, 0.139412

-6.73798,0.995598,0.229652,4,15,0,1.76985,0.926788,0.65723
-3.61965,1,0.229652,2,3,0,1.16387,0.964851,0.736203
-3.58295,0.997338,0.229652,2,3,0,1.31147,0.965828,0.747312
-0.807443,0.984818,0.229652,4,15,0,-0.260648,1.37017,1.0564
2.37228,0.989132,0.229652,4,15,0,-0.629888,1.38982,0.450836
2.26231,0.549003,0.229652,2,3,0,-0.426556,1.38299,0.536144
0.902372,0.846028,0.229652,2,3,0,-0.527666,1.32485,0.582806
0.917046,0.933834,0.229652,2,3,0,-0.563659,1.4778,0.465944
-0.204881,1,0.229652,3,7,0,-1.33589,1.50356,0.550073
1.50853,0.993631,0.229652,4,15,0,-0.0955694,1.27805,0.361516
1.74282,0.998815,0.229652,4,15,0,-0.965526,1.49458,0.521282
2.46028,0.91941,0.229652,3,5,0,-0.620641,1.42103,0.492535
2.17655,0.900523,0.229652,4,15,0,-0.27163,1.37163,0.499971
0.708639,0.893044,0.229652,4,11,0,-0.0402144,1.234,0.569605
-1.08041,0.938426,0.229652,3,7,0,0.478797,1.21182,0.411618
-0.272782,0.971528,0.229652,2,3,0,0.396503,1.2388,0.441794
-2.45423,0.69026,0.229652,4,15,0,0.0664328,1.28428,1.41708
-0.926686,0.99596,0.229652,3,7,0,-0.162252,1.25801,1.02249
-1.66516,0.989148,0.229652,3,7,0,-0.0712598,1.37657,1.18059
0.916579,0.985387,0.229652,3,7,0,-0.309818,1.3607,0.750991
0.0232101,0.904368,0.229652,4,15,0,-0.259404,1.25014,0.660184
-0.190573,0.99685,0.229652,4,15,0,0.389201,1.26382,0.709538
-1.7729,0.910327,0.229652,2,3,0,0.5826,1.27987,0.789773
-1.08712,0.955215,0.229652,4,11,0,-0.207611,1.21335,0.59534
-0.723543,0.988168,0.229652,4,11,0,-0.196478,1.44615,0.686125
-1.50569,0.854983,0.229652,1,1,0,-0.131042,1.45117,0.663892
-0.602371,1,0.229652,1,1,0,-0.185729,1.43982,0.634266
-0.51636,0.98784,0.229652,2,3,0,-0.177412,1.43506,0.611719
-0.51636,0.781048,0.229652,1,1,0,-0.177412,1.43506,0.611719
-0.634197,0.991056,0.229652,4,13,0,-0.92272,1.38143,0.831713
